Issue Key,Issue Type,Summary,Description,Sprint,Status,Epic Link,Time Spent (min)
D9X-1,Epic,day_9x — AI teammate's first-90-days onboarding demo (Watkins-grounded),"Five-Conversations charter, STARS selector, shadow-mode RAG, gated early wins, eval-gated probation, breakeven curve + day-9x checkpoint reports. Public HF Space, $0 keyless.",,In Progress,,
D9X-2,Story,Scaffold repo + config.py shared contract + docs skeleton,"config.py is the shared contract: task classes, STARS pacing, trust states, value model, attribution.",Sprint 1,Done,D9X-1,20
D9X-3,Story,Synthetic team data generator,"6 runbooks, unwritten-rules doc (coachable Skill), 10-task backlog with escalation trap, recon figures, 21-case golden set. All synthetic.",Sprint 1,Done,D9X-1,35
D9X-4,Story,RAG shadow engine,"Structure-aware chunking + contextual chunk headers, local ONNX embeddings, citations, abstain guardrail.",Sprint 1,Done,D9X-1,30
D9X-5,Story,Charter module (Five Conversations + STARS + duration to sprint snapshot),"Situation/expectations/style/resources/development; STARS sets phase pacing; duration re-derives sprints + day-9x checkpoints.",Sprint 1,Done,D9X-1,30
D9X-6,Story,Agent core (draft / scoped-task / escalate),"Deterministic backbones for triage, recon, DQ-rule authoring + helpful-abstain escalation; optional Haiku enrichment.",Sprint 1,Done,D9X-1,35
D9X-7,Story,Task board + approval gates + coaching loop,"Approve/reject/escalate; per-class trust state machine; coach writes a Skill and reindexes.",Sprint 1,Done,D9X-1,25
D9X-8,Story,Eval harness + per-task-class trust ledger,"Per-class eval gates; exit-code gates promotion; 2 culture cases red until coached.",Sprint 1,Done,D9X-1,30
D9X-9,Story,Breakeven ledger + day-9x checkpoint reports,"Value consumed vs created in analyst-hours; STARS-differentiated curve; 9-day stakeholder reports.",Sprint 2,Done,D9X-1,30
D9X-10,Story,Streamlit assembly (5 tabs + duration control + STARS selector),"Charter / Shadow / Early wins / Probation review / Breakeven+Retro; hiring-manager sidebar.",Sprint 2,Done,D9X-1,40
D9X-11,Story,Unit tests + QA run,"test_day9x.py: 15 tests green (sprint math, agent backbone, escalation, trust machine, coaching loop, breakeven).",Sprint 2,Done,D9X-1,25
D9X-12,Story,README (HF front-matter + Watkins credit) + DEPLOY_HF + PROMPTS_LOG + retro,"Docs complete; POV/STORY pointers.",Sprint 2,Done,D9X-1,25
D9X-13,Story,Push all commits to GitHub,"Needs GitHub PAT at push time — deliberately not stored.",Sprint 2,Done,D9X-1,
D9X-14,Story,Deploy to HuggingFace Spaces (public $0 keyless),"Needs HF token; follows the push. Never set ANTHROPIC_API_KEY as a secret on a public Space.",Sprint 2,Done,D9X-1,
D9X-15,Story,Demo walkthrough script + SPRINT_RETRO + stakeholder PPT,"DEMO_WALKTHROUGH.md, SPRINT_RETRO.md, and make_deck.py -> day_9x_stakeholder_deck.pptx.",Sprint 2,Done,D9X-1,30
D9X-16,Story,Freeze v0.1 (CHANGELOG + version stamp + local git tag),"CHANGELOG.md, version stamp in config/app/README, local git tag v0.1; documents the six known gaps at freeze (G1-G6).",Sprint 3,Done,D9X-1,20
D9X-17,Story,Gap register (gaps.py + data/gaps.json + Knowledge-gaps panel),"Every abstained answer or escalation persists as a structured knowledge gap (G-001..., question, hypothesis, status open->closed). Knowledge-gaps panel on the Shadow tab. [G1 substrate]",Sprint 3,Done,D9X-1,30
D9X-18,Story,Interview agent: gap -> SME interview -> authored attributed Skill -> reindex,"For an open gap Kai drafts 3 SME interview questions ($0 deterministic + optional Haiku); user picks an SME and types the answer; Kai writes a versioned attributed Skill (Coached by <SME>, <date>, v1 - interviewed by Kai, source gap G-00N), reindexes, and closes the gap. Grounded in arXiv 2507.03811. [G1]",Sprint 3,Done,D9X-1,40
D9X-19,Story,SME credit ledger (Teachers of the sprint),"Per-SME counters: Skills coached, citations served (your knowledge answered N questions). Demonstrates attribution flipping knowledge hoarding into teaching. [G2]",Sprint 3,Done,D9X-1,25
D9X-20,Story,Staleness supersedes-rule + ACL scope enforcement,"v1/v2 conflicting escalation-contacts runbook pair; v2 declares Supersedes the v1 and retrieval excludes the superseded doc (freshness, visible in UI). ACL: comp/appraisal questions refused with a least-privilege message citing charter scopes. [G4]",Sprint 3,Done,D9X-1,35
D9X-21,Story,Team impact panel (hours returned, doer->reviewer, energization),"Hours returned per named human, doer->reviewer role shift, 48%-vs-19% energization contrast, stays-human list with owners. On the Breakeven+Retro tab. [G3]",Sprint 4,Done,D9X-1,25
D9X-22,Story,Contribution log + retro co-presentation artifact,"Kai's actions (drafts, approvals, rejections, escalations, interviews, coaching) persist to data/contribution_log.json; retro view + downloadable sprint-review co-presentation markdown (Scrum.org ritual). [G5]",Sprint 4,Done,D9X-1,30
D9X-23,Story,Extend test_day9x.py for v2.0,"Gap capture, interview roundtrip, SME credit, ACL refusal, freshness supersedes-rule.",Sprint 4,Done,D9X-1,30
D9X-24,Story,Evals extension + retrieval-eval scorecard,"runbook_qa golden set grows to 9 (adds escalation-contacts freshness case + ACL-refusal case); per-golden-query retrieval scorecard (top doc + cosine + abstain flag) on the Probation tab. [C8]",Sprint 4,Done,D9X-1,35
D9X-25,Story,Docs + deck v2 (two money shots; G6 workflow slide) + JIRA_IMPORT.csv append,"DEMO_WALKTHROUGH v2.0, SPRINT_RETRO v2.0 section, deck v2 (two money shots + workflow-redesign slide), JIRA rows appended. [G6]",Sprint 4,Done,D9X-1,30
D9X-26,Story,Independent review pass (partner agent) -> REVIEW_v2.md,"Partner Opus agent independently audits v2.0: runs tests/evals, probes 6 edge cases, checks honesty of demo claims vs code, research-alignment G1-G6. Verdict SHIP-WITH-FIXES: zero code blockers; 1 doc Major (M1 demo-script gap seed) + 2 minors + 1 nit.",Sprint 4,Done,D9X-1,
D9X-27,Story,Apply review findings + re-verify,"M1: gap-mining money-shot re-seeded on genuinely-ungrounded question; honest answers-but-wrong copy in app + walkthrough. m1: 2025 label. m2: boot() resets registries (fresh Space starts clean). n1: ASCII interview questions. Re-verified: 23/23 tests, eval contract exact, e2e gap->interview->Skill->citation->credit.",Sprint 4,Done,D9X-1,25
